,name,lii,bii,vmag,ra_deg,dec_deg,cluster_id
1005,HIP 42527 ,151.3589199,35.95697549,4.59,130.05374429,64.32787175,26
1006,HIP 17959 ,136.3140273,13.27457034,4.59,57.58948256,71.33236777,62
1007,HIP 25473 ,200.08706444,-17.21912389,4.59,81.70928405,3.09567718,0
1008,HIP 96465 ,14.68257239,-20.50590562,4.59,294.17662107,-24.88356664,4
1009,HIP 95081 ,96.89609519,21.65854382,4.6,290.16696656,65.7144303,55
1010,HIP 72125 ,17.73373049,61.82341311,4.6,221.31040511,16.96440296,27
1011,HIP 75501 ,333.08875757,14.96351219,4.6,231.33438516,-38.7335881,13
1012,HIP 77760 ,67.69482446,50.31920195,4.6,238.16747684,42.44998796,86
1013,HIP 53502 ,278.85514061,20.31319891,4.6,164.17915128,-37.1374629,57
1014,HIP 20070 ,153.02094818,-0.08896561,4.6,64.56073112,50.29563944,62
1015,HIP 49402 ,252.46081498,33.05523572,4.6,151.28121856,-13.06467435,72
1016,HIP 36145 ,168.71359391,25.74556411,4.61,111.67858726,49.21164489,48
1017,HIP 8833  ,151.63806057,-56.18271071,4.61,28.38890233,3.18747844,8
1018,HIP 101474,75.42770647,-2.9261715,4.61,308.47578431,35.25086482,28
1019,HIP 1366  ,115.61916233,-23.70189303,4.61,4.27306518,38.68167915,41
1020,HIP 39095 ,237.16410695,5.99806963,4.61,119.96689649,-18.39914242,24
1021,HIP 443   ,93.75410166,-65.93293529,4.61,1.33394073,-5.70783255,78
1022,HIP 14817 ,150.23204103,-15.73362687,4.61,47.82250605,39.61157075,60
1023,HIP 76219 ,355.23781669,35.79046533,4.61,233.54383219,-10.06395962,61
1024,HIP 4422  ,123.60298845,-3.68376955,4.62,14.16671042,59.18116582,14
1025,HIP 90982 ,352.61981301,-14.80351041,4.62,278.37566714,-42.31245871,16
1026,HIP 63007 ,303.3450721,3.72250366,4.62,193.66341683,-59.14666538,81
1027,HIP 92946 ,37.21768168,0.85414215,4.62,284.05483475,4.20352956,31
1028,HIP 54182 ,246.13855011,57.93721464,4.62,166.25512463,7.33612254,73
1029,HIP 56480 ,291.79279721,6.94093966,4.62,173.69046642,-54.26413167,10
1030,HIP 62327 ,302.22937519,6.37606828,4.62,191.59478955,-56.48877967,81
1031,HIP 18673 ,219.64697622,-47.62459303,4.62,59.98115045,-24.01625677,70
1032,HIP 23497 ,180.7713755,-12.06467866,4.62,75.77376699,21.5900617,38
1033,HIP 25923 ,210.43560847,-20.98303918,4.62,82.98275119,-7.30152625,0
1034,HIP 80628 ,6.7400472,26.74504243,4.62,246.95094563,-8.37170055,50
1035,HIP 88175 ,23.73360507,9.58419051,4.62,270.12050178,-3.69016112,33
1036,HIP 44824 ,252.64438603,14.52081595,4.62,137.01190516,-25.85853691,72
1037,HIP 54301 ,291.12110481,-1.98246561,4.62,166.6353096,-62.42413654,37
1038,HIP 73199 ,104.87109611,46.5259873,4.63,224.39632979,65.93238126,83
1039,HIP 90797 ,332.81639827,-21.55820334,4.63,277.84344394,-62.27819116,71
1040,HIP 37648 ,243.88030408,-2.32245826,4.63,115.88498187,-28.41095714,66
1041,HIP 13914 ,158.69279323,-32.51351199,4.63,44.80305773,21.34044477,5
1042,HIP 118131,107.8500852,-36.15324967,4.63,359.43979002,25.14147936,76
1043,HIP 38500 ,263.37992281,-11.19358962,4.63,118.26517655,-49.61307949,23
1044,HIP 61789 ,300.52933535,22.83056448,4.63,189.96900602,-39.98724188,58
1045,HIP 42835 ,233.2898251,20.97016161,4.63,130.91825129,-7.23372781,24
1046,HIP 45448 ,262.52143256,8.00430877,4.63,138.93778941,-37.41312644,6
1047,HIP 92512 ,89.3072061,23.13551705,4.63,282.80002755,59.38828895,25
1048,HIP 77635 ,346.09795717,21.70593093,4.63,237.74480683,-25.75123489,50
1049,HIP 78662 ,326.3453583,-3.91852069,4.63,240.88425437,-57.77487351,39
1050,HIP 66738 ,108.17979985,61.01203455,4.63,205.18455213,54.68166149,12
1051,HIP 101589,58.63370896,-15.15738803,4.64,308.82711738,14.67418482,65
1052,HIP 82369 ,8.03798879,20.92345107,4.64,252.45822137,-10.78280069,50
1053,HIP 88765 ,35.81674625,13.74400837,4.64,271.82647643,8.73379361,1
1054,HIP 18216 ,219.99546909,-49.14290806,4.64,58.42784574,-24.61221253,70
1055,HIP 22845 ,189.34563594,-20.25318496,4.64,73.7237672,10.15114511,67
1056,HIP 67234 ,311.6337869,10.50368697,4.64,206.66403516,-51.43269771,2
1057,HIP 76829 ,331.9588191,8.43381616,4.64,235.29798226,-44.66055926,19
1058,HIP 84606 ,61.34679166,33.91317908,4.64,259.41785775,37.29134328,86
1059,HIP 28716 ,189.69174413,-0.86044467,4.64,90.9799315,20.13845865,38
1060,HIP 111674,102.7332659,-5.99099706,4.64,339.34360749,51.54537399,7
1061,HIP 76669 ,58.69782905,53.41286459,4.64,234.84451583,36.63582763,49
1062,HIP 113919,105.86718473,-9.23259501,4.64,346.04513231,50.05168397,29
1063,HIP 95585 ,37.25910054,-7.64293171,4.64,291.62954029,0.33857566,31
1064,HIP 51192 ,284.59093946,0.01087438,4.65,156.85199279,-57.63881373,37
1065,HIP 27890 ,272.36900845,-30.42023246,4.65,88.52458376,-63.09102096,42
1066,HIP 23607 ,186.18242639,-15.34509922,4.65,76.1422432,15.40418059,38
1067,HIP 36917 ,242.96368403,-3.86611451,4.65,113.8455718,-28.36927798,66
1068,HIP 58590 ,270.29623314,66.22810114,4.65,180.21829289,6.61439464,73
1069,HIP 21273 ,182.04982263,-21.66511866,4.65,68.46189659,14.84448749,67
1070,HIP 78639 ,331.96649386,2.52063531,4.65,240.80358419,-49.22972074,19
1071,HIP 12719 ,151.28714033,-28.92566694,4.65,40.86296031,27.70717078,60
1072,HIP 36514 ,244.76427458,-5.99581335,4.65,112.67754202,-30.96228313,66
1073,HIP 35363 ,248.77976906,-10.91167484,4.65,109.57667037,-36.7339666,23
1074,HIP 61740 ,297.69738845,54.7522922,4.66,189.81171855,-7.99550439,36
